# Sanctum · derived geography confidence table — DO NOT EDIT BY HAND
# regenerate with: tools/geo_classify.py --state CA
# generated 2026-09-02 · state CA · 1653 names
# source: US Census Bureau Gazetteer (public domain)
#   2025_Gaz_counties_national.txt
#   2025_Gaz_place_national.txt
# frequency signal: wordfreq
#
#   A  unique to this state      match on the name alone
#   B  shared with 2-3 states    require corroboration nearby
#   C  shared with 4+ states, or a common English word — never alone
#
#   A 1085   B 280   C 288
#
# LIMIT: the places file has no county column, so this covers the whole
# state. Narrowing to a sub-state AOR needs the Census place-to-county
# relationship file.
#
# name|kind|bucket|states|reason
kentfield|place|A|1|
kenwood|place|B|3|shares its name with 3 states
kep'el|place|A|1|
kerman|place|A|1|
kern|county|A|1|
kernville|place|A|1|
keswick|place|B|3|shares its name with 3 states
kettleman city|place|A|1|
keyes|place|B|2|shares its name with 2 states
king city|place|B|3|shares its name with 3 states
kings|county|B|2|shares its name with 2 counties
kings beach|place|A|1|
kingsburg|place|A|1|
kingvale|place|A|1|
kirkwood|place|C|4|shares its name with 4 states
klamath|place|B|2|shares its name with 2 states
knights ferry|place|A|1|
knights landing|place|A|1|
knightsen|place|A|1|
la cañada flintridge|place|A|1|
la crescenta-montrose|place|A|1|
la cresta|place|A|1|
la grange|place|C|7|shares its name with 7 states
la habra|place|A|1|
la habra heights|place|A|1|
la honda|place|A|1|
la mesa|place|B|2|shares its name with 2 states
la mirada|place|A|1|
la palma|place|A|1|
la porte|place|B|3|shares its name with 3 states
la presa|place|B|2|shares its name with 2 states
la puente|place|A|1|
la quinta|place|A|1|
la riviera|place|A|1|
la selva beach|place|A|1|
la verne|place|A|1|
la vina|place|A|1|
ladera|place|A|1|
ladera heights|place|A|1|
ladera ranch|place|A|1|
lafayette|place|C|16|shares its name with 16 states
laguna beach|place|B|2|shares its name with 2 states
laguna hills|place|A|1|
laguna niguel|place|A|1|
laguna woods|place|A|1|
lagunitas-forest knolls|place|A|1|
lake|county|C|12|shares its name with 12 counties
lake almanor country club|place|A|1|
lake almanor peninsula|place|A|1|
lake almanor west|place|A|1|
lake arrowhead|place|C|5|shares its name with 5 states
lake california|place|A|1|
lake city|place|C|14|shares its name with 14 states
lake davis|place|A|1|
lake don pedro|place|A|1|
lake elsinore|place|A|1|
lake forest|place|B|2|shares its name with 2 states
lake hughes|place|A|1|
lake isabella|place|B|2|shares its name with 2 states
lake los angeles|place|A|1|
